date,n_articles,mean_ensemble,mean_tb,mean_vader
2011-08-18,6,0.22581666666666667,0.03333333333333333,0.41829999999999995
2011-08-19,6,0.028123809523809523,-0.005952380952380952,0.0622
2011-08-20,1,0.05,0.1,0.0
2011-08-22,8,0.1832375,0.1625,0.20397500000000002
2011-08-23,5,0.14567999999999998,0.164,0.12736
2011-08-24,5,0.12857999999999997,-0.06000000000000001,0.31716
2011-08-25,5,-0.02967999999999999,-0.11000000000000001,0.05064
2011-08-26,9,-0.014516666666666666,0.03333333333333333,-0.062366666666666654
2011-08-29,2,0.075,0.15,0.0
2011-08-30,2,0.05,0.1,0.0
2011-08-31,3,0.32925,0.4166666666666667,0.24183333333333334
2011-09-01,2,0.0432,0.125,-0.0386
2011-09-06,4,0.48974999999999996,0.5,0.4795
2011-09-07,3,0.0734,0.0,0.1468
2011-09-08,5,0.16689636363636365,0.22727272727272724,0.10651999999999999
